gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
machete,Facão,,,,wã̂n,wã̂:n,wàn,wã̌:n,,wã̌:n
flute,Flauta,,,,?,,nɨ́h,pĩ̌:h,pĩ́h,pĩ̌:h
hook,Gancho,kә:ʔ,kʼa̰:h,,kɔ̂,kʼɛ̌:ʔ,,,,
shelf; smoking grid,Jirau,,,,julâ shelf wab smoking gɾid,wab,wәgŋ,wabm,wabm,wǎ:bm
axe,Machado,mɨ̃:m,mɨ̃:m,mɨ̃ɨ̃m,mã̂m,mã̂:m,mᴐ̀m,mɔ̃̂:m,mᴐ́bm,mɔ̃̂:m
pot,Panela 1,,,,bɔk,bɔk,,bʼɔ̰k,mbᴐᴐk,bʼɔ̰k
pot,Panela 2,ʃaɾe:j,ʃeɾe:j,saɾe:j,,,,,,
circle,Peconha,põ̰:d,po̰:d,,pɔ̌t,pɔ̌:t,pᴐ̀t,pɔ̌:t,pᴐ́t,pɔ̂:t
comb,Pente,pәʃ,,,pə̌ʃ,pә̌:ʃ,pә̀ç,pә̌:ç,,pә̌:jh
door,Porta,tɔbnɔ̃:h,nɔ̃:h,,jɔ̃h,tɔpjɔ̃h,mú,mɔ̃jɔ̃̌:h,,
grater,Ralo,,hãb,,hɨ̃̌p,hɨ̌̃:p,hɨ̃p,hɨ̌̃:p,hɨ̃́p,hɨ̌̃:p
hammock,Rede,jag,jag,jag,jɛg,jɛg,yàgŋ,dʲagŋ,yag,jagŋ
clothes,Roupa,,,,jûdn,jû:dn,yùh,jǔ:dn,yúdn,jû:dn
scissors,Tesoura,,,,hɛ̌j’,hɛ̂:j̰ʔ,,hɛ̌hɛ̌:j̰ʔ,hɛy’,hɛ̂:j̰ʔ
blowgun,Zarabatana 1,,,,bǎk,bǎ:k,,cabʼǎ̰:k,mbaák,bʼǎ̰:k
blowgun,Zarabatana 2,ʃo̰:w,ʃo̰:w,sʼo:w,,,,,,
tree (generic),Arvore (generico),bʌ̰:h,ba̰:h,bʼa:h,bɛ̂,bɛ̂:,,,,
cotton (kapok),Algodão 1 (sp.),kawad,kawad,kawad pu:w,,,,,,
cotton (kapok),Algodao 2 (sp.),ʃawɨk,ʃɨwɨkŋ,sawɨk,wuk,wuk,,cuwǔ:k,wúk,wû:k
cipó vine,Cipó (generico),ju:bm,,ju:bm,jubm,jubm,yúbm,jubm,yubm,jǔ:bm
cipó sp. (Philodendron imbé),Cipó-de-imbe,,,,w’ə̌k,ʔwәk,,wě:k,wék,wê:k
cipó sp.,Cipó (sp.),ʃaɾo:p,ʃoɾo:p,saɾo:p,,,wɛɾᴐ́,,,
coca (Erythroxylum coca),Coca,batoʔ,,bato,tuʔ,tuʔ,,,,
embauba (tree) (Cecropia sp.),Embauba 1,cʼakod,cʼakod,,,,,,,
embauba (tree) (Cecropia sp.),Embauba 2,bo:h,,,bô,bô:,mbʼòh,bʼɔ̂:̰h,,bʼɔ̂:̰h
embira (tree w/ cloth-like bark) (familia das anonaceas),Embira 1,ʃɨ̰:b,ʃɨ̰:b,sʼɨ:b,ʃɨ̌p,ʃɨ̰:p,,,sɨɨp,ʃɨ̰:p
embira (tree w/ cloth-like bark) (familia das anonaceas),Embira 2,,,,,,sɛ́,cɛ̂:,sɛɛ,cɛ̌:h
purpleheart (tree) (Peltogyne paniculata),Escorrega-macaco,pә:w,pә:w,,bə̂w,bә̂:w,,bʼә̰̂:w,mb’ә̀w,bʼә̰̂:w
cow tree (Couma sp.),Sorva,wabә:h,,,bə̌h,bә̌:h,,bʼә̌:h,,bʼә̌:h
tobacco (Nicotiana tabacum),Tabaco,hũ:t,hũ:t,hũ:t,hũ̌t,hũ̌:t,hũ̀t,hũ̌:t,hũt,hũ̌:t
fish poison plant/vine (plantas ictiotoxicas),Timbo (generico),dṵ:j,dṵ:j,dʼu:j,dǔʃ,dǔ:ʃ,ndʼùç,dʼṵ:ç,,dʼṵ̂:jʰ
tururi (tree with useful fibers) (Sterculia sp.),Tururi,,,,bob,bob,,bʔobm,,
bark,Casca,bɔg,bɔg,tabᴐg,bɨk,bɔk,,bʼɔ̰k,mbᴐᴐk,bʼɔ̰k
tree trunk?,Cerne 1,cʼɨ̰:d,cʼɨ̰:d,,cǎt aɾvoɾe duɾo,cʼǎ:t,,,,
tree trunk?,Cerne 2,,,,,,,sәʃә̌:w,sәsә́w,cәcә̂:w
spine; thorn,Espinho,,,,ʔǔt,ʔut,ùt,ʔut,,ʔud
flower,Flor,cʼo̰:h,cʼo̰:h,cʼo:h,cɔ̂,cʼô̰:,,cʼô̰:,,cʼô̰:h
leaf,Folha,kʼa̰:d,kʼa̰:d,gʼa:d,kɛ̌t,kʼɛ̰̌:t,kʼɛ̀t,kʼɛ̰̌:t,kɛɛt,kʼɛ̰̂:t
root,Raiz 1,,,,tǐʃ ɾoots in/odn gɾound,tǐ:ʃ,tìh,tǐ:h,,tî:jʰ
root,Raiz 2,kɔbm,kɔbm,kᴐbm,xɔbm ɾoots extending fɾobm tɾunk to gɾound,xɔbm,,,,
seed,Semente 1,tɨbm,tɨbm,tatɨbm,tɨbm,tɨbm,,,,
seed,Semente 2,,,,,,,wәgŋ,wәg,wә̂:g
fruit,Fruta (generico),ʔag,ʔag,ag,ʔɛg,ʔɛg,ágŋ,ʔagŋ,,ʔagŋ
pineapple (Ananas sativus),abacaxi,,,,?,jɔ̂:j,yᴐ̀y,jɔ̌:j,yᴐ́y,jɔ̂:j
pineapple (Ananas comosus),Abacaxi,mãwã:d,mãwã:d,mawã:d,wã̌n,wã̌:n,,,,
banana (Musa sp.),Banana 1,mãʃe:ɾ,mãʃe:ɾ,mase:ɾ,ʃêl’,ʃelʔ,,,,
banana (Musa sp.),Banana 2,,,,,,pɨhɨ́t,pɨhɨ̌:t,wɨhɨt,wɨhɨ̌:t
banana (Musa sp.),Banana 3,pãnã:ɾ pãnã:l,pãnã:ɾ,pana:ɾ,nã̂l’,nã̌:lʔ,,,,pãnãh
cashew (Anacardium sp.),Caju,,,,waʃap,,yahám,ɲãhãm,yãham,jãhã:m
Amazonian tree-grape,Cucura 1,,,,huh,huh,ndʼak,mbuhuh,,
,(Pourouma cecropiaefolia),,,,,,,,,
Amazonian tree-grape (Pourouma cecropiaefolia),Cucura 2,taɾapo:ʔ,ʃaɾapu:ʔ,taɾapo:,,,,,,
inga (Inga sp.),Inga 1,kãmɛ̃ʔpiʔ,kʼupiʔ,kamepi,,,,,,
inga (Inga sp.),Inga 2,,,,mbîdn,mĩ̂:n,mìn,mĩ̌:n,mídn,mĩ̂:n
Ira-pixuna,Ira-pixuna,,,,ndôg,nô:g,ndògŋ,ndôgŋ,,
(tree) (Erisma japura),(Coccoloba pixuna),,,,,,,,,
açaí palm (Euterpe sp.),Açai,mãnãg,mãnãg,,nã̌k,nã̌:k,,,,
bacaba palm (Oenocarpus sp.),Bacaba 1,wʌgŋ,wʌkŋ,wʌgŋ,wax wǒɾ,waxwǒ:h,,wohsiwib,,wawǒ:h
caraná palm (Mauritia sp.),Caraná,kapo:ɟɲ,tapo:ɟɲ,,pɔ̂j,pɔ̂:j,,,,
peach palm (Bactris gasipaes),Pupunha 1,,,,cɨ̂w,cʼɨ̂:w,,cʼɨ̌:w,sɨɨ́w,cʼɨ̰̂:w
dioscorea (tuber) (Dioscorea sp.),Cara 1,mãnãʔɨ:dn,ʔɨ:dn,manaɨ:dn,ʔîdn,ʔĩ̌:n,,,,
dioscorea (tuber) (Dioscorea sp.),Cara 2,,,,,,,cʼã̰h,sãah,cʼã̰h
mushroom,Cogumelo (sp.),pәbm,pәbm,bʼa: pәbm,pəm’,pәb pәbmʔ,pàç,pәbʔ,,pәbʔ
manioc (Manihot utilissima),Mandioca,,,,jǎk,jǎ:k,kayak,kajak,,jâ:k
chili pepper (Capsicum sp.),Pimenta 1,,,,xɔw,xɔw,kᴐ́w,kɔw,kᴐw,kɔw
chili pepper (Capsicum sp.),Pimenta 2,po̰:h,pɔ̰:h,pʼo:h,,,,,,
rubber,Borracha,tʌg,tʌg,bʼa: tʌg,tǎk,tǎ:k,tàk,tǎ:k,ták,tǎ:k
ash,Cinzas 1,,,,xuʔ,,,tuh,túh,tuh
ash,Cinzas 2,ʔo:j,ʔɔ:j,o:j,,,,,,
tree (bound form),Designativo de arvores,tә:g,tә:g,t?:g,təg bound foɾbm,tә̂:gŋ,tegŋ,tê:gŋ,teg,tê:g
wood,Lenha,,,,bɛduh,duh,,dʼṵh,nduúh,dʼṵh
stump,Toco,,,,ndɨd,nɨd,ndó,dɨdn,,
curare poison (Strychnos sp.),Veneno 1,,,,nã̌m,nã̂:m nã̌:m,,nã̌:m,,nã̌:m
curare poison,Veneno 2 (sp.),pɨ̰:bm,pɨ:bm,pʼɨ:bm,wɨbm stɾong,,nàm,pɨ̌:bm,,pɨ̌:bm
1pl,1pl Nos,ʔә:ɾə,,ә:ɾ,ʔid,ʔid,ɨ́n,ʔɨ̃n,ɨ̃n,ʔɨ̃̌:n
water,Agua,naʔәgŋ,naʔәgŋ,naәgŋ,ndə̌x,nә̌:x,ndèh,ndě:h,ndéh,ndê:h
tapir,anta (tapirus terrestris),tʌ̰:gŋ,tʌ̰:kŋ,tʼә:gŋ,tǎx,tǎ :x,tàh,tǎ :h,tàhtáh,tǎ :h
wing,Asa,takәg,takәg,kәg,xê,xê:,ké,kê:,ke,tәkeh
bacaba palm,Bacaba 2,ʃawɨ:bm,ʃɨwɨ:bm,sawɨ:bm,wîbm,wî:bm,wᴐ́s,ciwǐ:bm,wíbm,wî:bm
buriti palm,Buriti,cʼʌ̰:g,cʼʌ̰:g,cʼә:g,cǎk,cʼǎ:k,sʼàk,cʼǎ̰:k,saák,cʼâ̰:k
look for,Buscar,hɨ:dn,hɨ:dn,eh?:dn,,,NF,,,
path,Caminho,tɨ:w,tɨ:w,tɨ:w,tɨ̂w,tɨ̂:w,tiyìʔ,tǐ:w,tíw,tî:w
mosquito,Carapana,,kʼɨ:j,gɨ:j,ʃɔ̃̂,,kʼí,kʼî:,kii,kʼijǐ:h
charcoal,Carvão,ʃәh,ʃәh,sәh,ʃə̌x,ʃә̌:x,tegsә̀h,cә̌:h,,
sky,Ceu 2,wәʔ,wә:ʔ,wә,?,wә̌:ʔ,,,,
snake sp.,Cobra (sp.),ʔawɨ̰:ʔ,ʔawɨ̰:h,awʼɨ:,,,,,,
long,Comprido 1,dawɨ:t dawɨd,nɨwɨ:t,daw?:t,w’ət,w̰ʔәt,wʼә́t,w̰ʔәt,wәәt,w̰ʔәt
cut (through/off),Cortar 3,kʼakɨ:t ,kʼakɨd,gakɨ:t,xɨ̌t cut thɾough/off,xɨ̌: t,kɨt,kɨt,,
grow; climb,Crescer 2; subir,ʃә̰:g,ʃә̰:g,asә:k,ʃǎk,ʃâ:k,sak,cak,sak,
be suspended (in hammock; canoe),Deitar 1,kʼʌʔ kʼә:ʔ,,agʌ,kaʔ nda ɾede canoa pinduɾaɾ,kʼaʔ,kʼãʔ,kʼã̰ʔ,kãʔ,kʼã̰ʔ
tooth,Dente,tәg,tәg,tәg,təg,tәg,tә́gŋ,tәgŋ,tәg,tәgŋ
vine; cord,Em forma de fio (cipo),tɨd,tɨd,tɨd,tit,tit,tɨ́t,tit,tɨt,tɨt
hide,Esconder,jәdn,jәdn,kejәdn,jêdn,jê:dn,yә́dn,jә̂:dn,yәdn,jәdn
stand,Estar em pe,gә̰:d,gә̰:d,ag?:t,kə̌t,kә̌t,kʼet,cakʔet,,kʔedʔ
forest,Floresta,hʌ:j,hʌ:j,hә:j,xâj,xâ:j,hày,hǎ:j,háy,hâ:j
fire,Fogo,tә:g,tә:g,t?:g,bohɔ̃̂ bɔ̃hɔ̃̂ lenha: biduh bɛduh,tә̌:ʔ,tègŋ,tě:gŋ,tég,tê:gŋ
fire ant,Formiga-de-fogo,ʔɨ:h,ʔɨ:h,ɨ:h,ʔɨ̂,ʔɨ̂:,ɨ̃̀h,ʔɨ̃̌:h,,
fat; grease,Gordura 2,ʃɨ:j,ʃɨ:j,sɨ:j,,,,,,
man,Homem 1,ʔajɨ̰:ʔ ʔajɨ:ʔ,ʔajɨ̰:h,ajʼɨ:,,,tiyìʔ,tijǐ:ʔ,yí’,jî:ʔ
caiman (sp.),Jacare (sp.),wә:ʔ,wә:ʔ,wә:,,,,,,
japurá (tree),Japura,jawʌk,wakŋ,jawәk,wak,wak,yawák,jawak,wak,wǎ:k
far,Longe 2,dawә̝:ʔ,nãwɨ:h,daw?:,,,wʼéh,,,
white-fronted capuchin monkey,Macaco-caiarara,hә̝:w,hә:w,h?:w,,,hɛ́w,hɛ̂:w,,
bat,Morcego 2,wәbm,wәbm,wәbm,,,,,,wә̌:bm
bite,Morder,kʼәʃ kʼә:j,kʼәʃ kʼә:j,egәs,kəʃ,kʼәʃ,kʼәç,kʼәç,kәәç,kʼәjʰ
night,Noite,cʼәbm,cʼәbm,acәbm,cebm,cʼebm,sʼә́bm,cʼә̰bm,sәәbm,cʼә̰bm
name,Nome,hʌd hʌt,hʌ̰:d,hʌd,xǎt,xǎ:t,hàt,hǎ:t,hát,hǎ:t
eye,Olho,mãtɨbm,mãtɨbm,matɨbm,tɨbm,tɨbm,tɨ̀bm,,,
hear,Ouvir 1,wә:ʔ wәʔ,wәʔ,ma new?:,wə̌’,wәʔ,wә́ʔ,wәʔ,,
hear; understand,Ouvir 2; saber,pʌh pә:h,pa:h,hapʌh,pǎh,pǎ:h,NF,pãh,pãh,pãh
father,Pai 1,ʔɨb,ʔɨb,ɨb,ʔǐp,ʔǐ:p,,ʔǐ:p,íp,ʔǐ:p
bird,Passaro (generico),tawә̰:d,tәwә̰:d,tawʼә:d,təwə́t,tәwә̌t,wɛ̀y,wě:t,wét,wê:t
seje palm,Pataua,wʌgŋ,wʌkŋ,wʌgŋ,wax,wax,wáh,wuh,wah,wǎ:h
foot,Pe,cʼɨ:bm,cʼɨ:bm,cɨ:bm,cɨ̂bm,cʼɨ̂:bm,sʼìbm,cʼḭ̌:bm,siíbm,cʼî:bm
heavy,Pesado,jawɨk,jɨwɨkŋ,jawɨk,təw’,,yiwík,jiwik,wik,wik
black,Preto,cʼәgŋ,cʼә:h,cʌŋ?,câ,cʼ â:,sʼá,cʼ â̰:,saa,cʼ â̰:h
peach palm,Pupunha 2,jә:ʔ,jɨ:h,j?:,,,,,,
adolescent boy,Rapaz,pahә:w,pʌhʌ:w,pahә:w,pɛɟxǎw,pɛdxâ:w,pɛ̃y,pɛʃâ:w,,pɛdhǎ:w
clear brush/trees,Roçar 1,kʼә:bm kʼә:w,kʼә:w,gә:w,xǎp coɾtaɾ plantas pequenas pɾimeiɾo kâw deɾɾobeɾ aɾvoɾes,kʼâ:w,,,,
blood,Sangue,mãjɨ:w mãjɨ:bm,mɨ̃jɨ:w,majɨ:w,jɨ̂w,jɨ̂:w,mbiyìw,mbĩjî:w,,dîw
dirty,Sujo,tә:w,,t?:w,tə̌w’ sujeiɾo dɨj peɾsodn coloɾ shade cik things,tә̌:w̰ʔ,sʼàw,cʼǎ̰:w̰ʔ,saáw’,cʼǎ̰:w̰ʔ
ucuqui (tree),Ucuqui,mʌ̃ʔ,mʌ̃ʔ,mʌ,mɨ̃̂,mɨ̃̂:,mɨ̀h,mɨ̃̌:h,mɨ́h,mɨ̃h
achiote; anatto,Urucum,hә̰:w,hә̰:w,hʼ?:w,hə̂w,hә̂:w,hә̀w,hә̌:w,hә́w,hә̂:w
old woman,Velha,wahәh wahɨ̰:h wah,,wahʼ?:,ʔãjhən ʔãjwâ ʔãjwǎh,,wá,wâ:,wәhә́h,tәwәhә̌:h
vomit,Vomitar,hә:dn,hә:dn,ehә:dn,xâdn,xâ:dn,hohòʔ,hɔ̃̌:n,hᴐ̃n,hɔ̃n
